Sample,234/238_U,234/238_Uer,230_Th/238_U,230_Th/238_Uer,232/230_Th,232/230_Ther,n238U(pmol),n238U_er,[238U](pmol_g),[238U]_er,n230Th(pmol),n230Th_er,[230Th](pmol_g),[230Th]_er
1 PR SAV,5.952628E-05,3.740450E-08,1.181398E-05,4.418093E-08,2.620064E+01,2.943102E+00,1.523041E+02,1.137050E-01,2.278978E+03,3.810990E+00,1.799317E-03,6.593633E-06,2.692379E-02,1.065710E-04
2 PR SAV,5.954406E-05,2.684675E-08,1.184315E-05,3.861295E-08,3.114391E+01,2.104127E+00,1.518027E+02,9.714100E-02,2.277952E+03,3.716130E+00,1.797822E-03,5.747649E-06,2.697812E-02,9.527767E-05
3 PR SAV,5.952521E-05,2.774567E-08,1.182789E-05,4.373431E-08,2.168245E+01,2.939313E+00,1.521796E+02,9.789865E-02,2.278820E+03,3.714000E+00,1.799965E-03,6.554062E-06,2.695365E-02,1.061195E-04
4 PR SAV,5.954747E-05,2.813837E-08,1.187321E-05,4.069578E-08,3.818821E+01,2.099820E+00,1.517955E+02,9.707173E-02,2.280924E+03,3.724857E+00,1.802301E-03,6.069068E-06,2.708190E-02,9.986315E-05
5 PR SAV,5.959772E-05,2.838946E-08,1.189055E-05,3.671271E-08,2.350330E+01,2.111449E+00,1.521538E+02,9.910961E-02,2.278092E+03,3.719638E+00,1.809192E-03,5.460371E-06,2.708777E-02,9.126122E-05
6 PR SAV,5.95982414953693E-05,5.12201028467024E-08,1.18100278609243E-05,3.39715904946199E-08,22.991527155904,2.92430948398655,150.843400567135,0.154936921262302,2275.1644127773,4.15176503404695,0.00178146476333442,4.78711803097667E-06,0.0268697551030833,8.2800259786755E-05
7 PR SAV,5.96552829274207E-05,2.73014134864937E-08,1.18690964422189E-05,3.60364741813558E-08,27.2343893676727,3.89673620307022,152.404865306019,0.102261476064817,2277.75915866117,3.73155504036569,0.00180890804458052,5.35646841320042E-06,0.0270349431262969,8.96734859727389E-05
8 PR SAV,5.96188848971873E-05,3.02437277702863E-08,1.18625372378251E-05,3.15832181846873E-08,20.7940980108123,3.58247901937714,151.708253038599,0.1041925190429,2271.7618005181,3.74259038434934,0.00179964480095578,4.62943539009693E-06,0.0269488589541147,8.02139222966344E-05
9 PR SAV,5.96342365353425E-05,2.73576110092568E-08,1.18565523446457E-05,3.3111374204229E-08,20.6116020984566,3.20092403826555,150.975853905004,0.099872551900807,2274.41780513715,3.74214345521188,0.00179005311460226,4.85688301245425E-06,0.0269667537602028,8.36893813374373E-05
10 PR SAV,5.97193242727349E-05,2.6630085721075E-08,1.18772999390573E-05,3.04429055732365E-08,22.9114314263899,3.07538858776754,151.248491173591,0.0997516417917895,2271.33940792298,3.72537930020391,0.00179642369499861,4.44955337659001E-06,0.0269773794113021,7.81422237476387E-05
